video_id,university_name,title,description,channel_name,upload_date,upload_year,views,likes,comment_count,duration,language,video_url,relevance_score,relevance_label,clean_title,clean_description,combined_text,title_word_count,title_char_count,description_word_count,description_char_count,combined_word_count,combined_char_count,emoji_count,hashtag_count,mention_count,exclamation_count,question_count,engagement_rate,log_views,log_likes,log_comments,video_age_days
CkQ_yJEpoak,KIIT University,KIIT University Shocker | After Death On Campus - Nepalese Students Thrown Out | Akash Banerjee,After a tragic death on campus - protesting Nepalese students (who were demanding answers from the Administration) were ...,The Deshbhakt,2025-02-18T16:50:53Z,2025,3390160,155221,17975,PT17M21S,unknown,https://www.youtube.com/watch?v=CkQ_yJEpoak,11,Relevant,KIIT University Shocker | After Death On Campus - Nepalese Students Thrown Out | Akash Banerjee,After a tragic death on campus - protesting Nepalese students (who were demanding answers from the Administration) were .,KIIT University Shocker | After Death On Campus - Nepalese Students Thrown Out | Akash Banerjee After a tragic death on campus - protesting Nepalese students (who were demanding answers from the Administration) were .,16,95,19,121,35,217,0,0,0,0,0,0.051088,15.036387970854262,11.952611629262629,9.796792813865164,499
uXn85kgphuA,BITS Pilani,BITS Pilani College Review | In Short,,Apna College,2023-02-11T14:56:02Z,2023,2459022,132348,1544,PT1M,unknown,https://www.youtube.com/watch?v=uXn85kgphuA,15,Relevant,BITS Pilani College Review | In Short,,BITS Pilani College Review | In Short,7,37,0,0,7,37,0,0,0,0,0,0.054449,14.715274674550276,11.793197651903242,7.342779189331845,1237
cp3UD82R03A,IIT Bombay,IIT Bombay College Review in Short,shorts Alpha 3.0 Placement Batch (Java+DSA) : https://www.apnacollege.in/course/alpha-batch-3 ...,Apna College,2023-02-08T17:34:19Z,2023,1440221,112539,1415,PT53S,unknown,https://www.youtube.com/watch?v=cp3UD82R03A,15,Relevant,IIT Bombay College Review in Short,shorts Alpha 3.0 Placement Batch (Java+DSA) : .,IIT Bombay College Review in Short shorts Alpha 3.0 Placement Batch (Java+DSA) : .,6,34,8,47,14,82,0,0,0,0,0,0.079123,14.18030782633639,11.63106399298727,7.255591274253665,1240
X8j598Tgx9o,IIT Bombay,Why IIT Bombay hostels are best ? #iit #iitbombay #iitjee #jee #campus #hostel #hostellife #pongal,,Garima Bangar [ IIT Bombay ],2024-01-15T13:07:10Z,2024,13476321,467007,1380,PT34S,unknown,https://www.youtube.com/watch?v=X8j598Tgx9o,15,Relevant,Why IIT Bombay hostels are best ? #iit #iitbombay #iitjee #jee #campus #hostel #hostellife #pongal,,Why IIT Bombay hostels are best ? #iit #iitbombay #iitjee #jee #campus #hostel #hostellife #pongal,15,98,0,0,15,98,0,8,0,0,1,0.034756,16.416444777553778,13.054101667125291,7.2305631534092925,899
ID0-RbOEbvg,IIT Madras,IIT Madras College Review in Short,shorts Alpha 3.0 Placement Batch (Java+DSA) : https://www.apnacollege.in/course/alpha-batch-3 ...,Apna College,2023-02-04T14:38:51Z,2023,1014345,71299,1140,PT47S,unknown,https://www.youtube.com/watch?v=ID0-RbOEbvg,15,Relevant,IIT Madras College Review in Short,shorts Alpha 3.0 Placement Batch (Java+DSA) : .,IIT Madras College Review in Short shorts Alpha 3.0 Placement Batch (Java+DSA) : .,6,34,8,47,14,82,0,0,0,0,0,0.071415,13.829754627809663,11.174651606402389,7.039660349862076,1244
CR9P6rM0H9o,IIIT Allahabad,IIIT Allahabad College Review | In Short,shorts Alpha 3.0 Placement Batch (Java+DSA) : https://www.apnacollege.in/course/alpha-batch-3 ...,Apna College,2023-03-15T06:24:50Z,2023,747903,45865,960,PT57S,unknown,https://www.youtube.com/watch?v=CR9P6rM0H9o,15,Relevant,IIIT Allahabad College Review | In Short,shorts Alpha 3.0 Placement Batch (Java+DSA) : .,IIIT Allahabad College Review | In Short shorts Alpha 3.0 Placement Batch (Java+DSA) : .,7,40,8,47,15,88,0,0,0,0,0,0.062608,13.525029906474057,10.733479380823916,6.8679744089702925,1205
38wybR1ZU20,Galgotias University,Galgotias University is Really Worst❌? |  Honest Review | Galgotias University,Galgotias University Honest Review | Worst❌ or Best | Galgotias University @GalgotiasUniversity_1 Hey Everyone! So in this ...,Prachee verma,2024-07-10T12:38:29Z,2024,45753,0,896,PT8M14S,unknown,https://www.youtube.com/watch?v=38wybR1ZU20,14,Relevant,Galgotias University is Really Worst❌? | Honest Review | Galgotias University,Galgotias University Honest Review | Worst❌ or Best | Galgotias University @GalgotiasUniversity_1 Hey Everyone! So in this .,Galgotias University is Really Worst❌? | Honest Review | Galgotias University Galgotias University Honest Review | Worst❌ or Best | Galgotias University @GalgotiasUniversity_1 Hey Everyone! So in this .,11,77,18,124,29,202,2,0,1,1,1,0.019583,10.73103449857573,0.0,6.799055862058796,722
WwFCjiyCWHI,IIT Hyderabad,IIT Hyderabad Campus Tour | Hostel | Mess | Sports | Placement Vlog | Room | Jossa Counselling JEE,So Hello Everyone in this video we are going to do a Campus Tour of IIT Hyderabad which is currently One OF the best ...,Vinit Kumar [ IIT BOMBAY ],2025-03-01T12:30:34Z,2025,599196,10762,883,PT10M50S,unknown,https://www.youtube.com/watch?v=WwFCjiyCWHI,42,Relevant,IIT Hyderabad Campus Tour | Hostel | Mess | Sports | Placement Vlog | Room | Jossa Counselling JEE,So Hello Everyone in this video we are going to do a Campus Tour of IIT Hyderabad which is currently One OF the best .,IIT Hyderabad Campus Tour | Hostel | Mess | Sports | Placement Vlog | Room | Jossa Counselling JEE So Hello Everyone in this video we are going to do a Campus Tour of IIT Hyderabad which is currently One OF the best .,19,98,25,118,44,217,0,0,0,0,0,0.019434,13.303345704497046,9.283869605264298,6.784457062637643,488
MmQ3s8SKmis,NIT Trichy,NIT Trichy Campus Tour | Hostel | Mess | Room | Placement Vlog | JEE MAINS April JEE 2025 Cut Off,So Hello Everyone in this video we are going to do a Campus Tour of NIT Trichy which is currently one of the best engineering ...,Vinit Kumar [ IIT BOMBAY ],2025-03-08T12:30:29Z,2025,316564,5718,854,PT18M1S,unknown,https://www.youtube.com/watch?v=MmQ3s8SKmis,38,Relevant,NIT Trichy Campus Tour | Hostel | Mess | Room | Placement Vlog | JEE MAINS April JEE 2025 Cut Off,So Hello Everyone in this video we are going to do a Campus Tour of NIT Trichy which is currently one of the best engineering .,NIT Trichy Campus Tour | Hostel | Mess | Room | Placement Vlog | JEE MAINS April JEE 2025 Cut Off So Hello Everyone in this video we are going to do a Campus Tour of NIT Trichy which is currently one of the best engineering .,21,97,26,127,47,225,0,0,0,0,0,0.02076,12.665283870728606,8.651549243915316,6.75110146893676,481
7YRkQugpp3U,NIT Trichy,NIT Trichy College Review InShort,shorts Alpha 3.0 Placement Batch (Java+DSA) : https://www.apnacollege.in/course/alpha-batch-3 ...,Apna College,2023-02-17T17:43:35Z,2023,562273,31667,775,PT50S,unknown,https://www.youtube.com/watch?v=7YRkQugpp3U,15,Relevant,NIT Trichy College Review InShort,shorts Alpha 3.0 Placement Batch (Java+DSA) : .,NIT Trichy College Review InShort shorts Alpha 3.0 Placement Batch (Java+DSA) : .,5,33,8,47,13,81,0,0,0,0,0,0.057698,13.239744554548617,10.363061986291324,6.654152520183219,1231
rwG6Ea5Erbc,Lovely Professional University,"Lovely Professional University (LPU) | Admission Process, Fees, Placements, Campus | Honest Review",Drishti (JEE 2026) - https://vdnt.in/Fjr8X Manthan (JEE 2025) - https://vdnt.in/Fjr9q ⚡For Batch Admission Inquiry Fill the Form: ...,Vedantu JEE Made Ejee,2023-04-19T15:33:37Z,2023,355402,8372,730,PT24M16S,unknown,https://www.youtube.com/watch?v=rwG6Ea5Erbc,17,Relevant,"Lovely Professional University (LPU) | Admission Process, Fees, Placements, Campus | Honest Review",Drishti (JEE 2026) - Manthan (JEE 2025) - ⚡For Batch Admission Inquiry Fill the Form: .,"Lovely Professional University (LPU) | Admission Process, Fees, Placements, Campus | Honest Review Drishti (JEE 2026) - Manthan (JEE 2025) - ⚡For Batch Admission Inquiry Fill the Form: .",13,98,16,87,29,186,0,0,0,0,0,0.02561,12.781007635860083,9.032767522204432,6.594413459749778,1170
mft5UgJYAXU,NIT Warangal,NIT Warangal College Review In Short,shorts Alpha 3.0 Placement Batch (Java+DSA) : https://www.apnacollege.in/course/alpha-batch-3 ...,Apna College,2023-02-10T16:11:46Z,2023,438006,27529,730,PT42S,unknown,https://www.youtube.com/watch?v=mft5UgJYAXU,15,Relevant,NIT Warangal College Review In Short,shorts Alpha 3.0 Placement Batch (Java+DSA) : .,NIT Warangal College Review In Short shorts Alpha 3.0 Placement Batch (Java+DSA) : .,6,36,8,47,14,84,0,0,0,0,0,0.064517,12.989990170966037,10.223031598136654,6.594413459749778,1238
YxZULPGTBC0,NIT Warangal,NIT Warangal || #nitwarangal  ||#messfood || #mess || #nitwarangalmess ||#nitw ||#topnit || #nit,nit #nitwarangal #warangal #messfood #mess #nitwarangalcampus #nitwarangalmess #nitw #nitwarangalmessfood.,Anuj Bind Vlogs,2023-02-19T10:56:44Z,2023,847051,12107,729,PT26S,unknown,https://www.youtube.com/watch?v=YxZULPGTBC0,11,Relevant,NIT Warangal || #nitwarangal ||#messfood || #mess || #nitwarangalmess ||#nitw ||#topnit || #nit,nit #nitwarangal #warangal #messfood #mess #nitwarangalcampus #nitwarangalmess #nitw #nitwarangalmessfood.,NIT Warangal || #nitwarangal ||#messfood || #mess || #nitwarangalmess ||#nitw ||#topnit || #nit nit #nitwarangal #warangal #messfood #mess #nitwarangalcampus #nitwarangalmess #nitw #nitwarangalmessfood.,13,95,9,106,22,202,0,15,0,0,0,0.015154,13.649517364902012,9.401621670141608,6.593044534142437,1229
8R2FDFGDDnc,Galgotias University,Galgotias University Campus Tour | Complete Walkthrough || Prajwal Kamboj,"Welcome to this comprehensive campus tour of Galgotias University — a modern hub for innovation, academics, and student life.",Prajwal Kamboj,2025-07-08T15:45:06Z,2025,97205,1341,713,PT12M42S,unknown,https://www.youtube.com/watch?v=8R2FDFGDDnc,28,Relevant,Galgotias University Campus Tour | Complete Walkthrough || Prajwal Kamboj,"Welcome to this comprehensive campus tour of Galgotias University — a modern hub for innovation, academics, and student life.","Galgotias University Campus Tour | Complete Walkthrough || Prajwal Kamboj Welcome to this comprehensive campus tour of Galgotias University — a modern hub for innovation, academics, and student life.",10,73,19,125,29,199,0,0,0,0,0,0.021131,11.484587716938472,7.201916317531627,6.570882962339584,359
miT4CK_5Sac,NIT Jaipur,MNIT Jaipur College Review | InShort,shorts Alpha 3.0 Placement Batch (Java+DSA) : https://www.apnacollege.in/course/alpha-batch-3 ...,Apna College,2023-03-17T15:18:42Z,2023,514428,27435,705,PT1M,unknown,https://www.youtube.com/watch?v=miT4CK_5Sac,15,Relevant,MNIT Jaipur College Review | InShort,shorts Alpha 3.0 Placement Batch (Java+DSA) : .,MNIT Jaipur College Review | InShort shorts Alpha 3.0 Placement Batch (Java+DSA) : .,6,36,8,47,14,84,0,0,0,0,0,0.054702,13.150812826677267,10.219611298619212,6.559615237493242,1203
Fmcdfl24KtM,North Eastern Hill University,"NEHU -North Eastern Hill University , Shillong Campus tour for BTech and LAW  #campustour#college",central university #northeasternhillUniversity shillong Meghalaya #low percentile university #campustour .... #nehu comment for ...,DeEpAk InSaNe Vlog,2024-06-14T09:28:46Z,2024,39248,724,674,PT12M32S,unknown,https://www.youtube.com/watch?v=Fmcdfl24KtM,19,Relevant,"NEHU -North Eastern Hill University , Shillong Campus tour for BTech and LAW #campustour#college",central university #northeasternhillUniversity shillong Meghalaya #low percentile university #campustour . #nehu comment for .,"NEHU -North Eastern Hill University , Shillong Campus tour for BTech and LAW #campustour#college central university #northeasternhillUniversity shillong Meghalaya #low percentile university #campustour . #nehu comment for .",14,96,14,126,28,223,0,6,0,0,0,0.03562,10.577681245178988,6.586171654854675,6.51471269087253,748
z9u7-PI7po4,IIT Madras,IIT Madras | Campus Beats | #iitmadras #iit,"Experience the vibrant energy of IIT Madras Campus Beat! From cultural vibes to campus life, this video captures the spirit, rhythm, ...",IITian buddy,2025-09-18T19:38:19Z,2025,9440346,191440,602,PT53S,unknown,https://www.youtube.com/watch?v=z9u7-PI7po4,18,Relevant,IIT Madras | Campus Beats | #iitmadras #iit,"Experience the vibrant energy of IIT Madras Campus Beat! From cultural vibes to campus life, this video captures the spirit, rhythm, .","IIT Madras | Campus Beats | #iitmadras #iit Experience the vibrant energy of IIT Madras Campus Beat! From cultural vibes to campus life, this video captures the spirit, rhythm, .",8,43,22,134,30,178,0,2,0,1,0,0.020343,16.060503295920682,12.162334946137356,6.401917196727186,287
vUTZf1TP_8M,Lovely Professional University,Lovely Professional University Campus Tour || Prajwal Kamboj,Apply Here https://sms.lpu.in/pac7c5Z2H Refferal code for maximum discount LPULMW499 Welcome to our virtual tour ...,Prajwal Kamboj,2024-06-11T13:30:07Z,2024,67262,1442,585,PT24M17S,unknown,https://www.youtube.com/watch?v=vUTZf1TP_8M,21,Relevant,Lovely Professional University Campus Tour || Prajwal Kamboj,Apply Here Refferal code for maximum discount LPULMW499 Welcome to our virtual tour .,Lovely Professional University Campus Tour || Prajwal Kamboj Apply Here Refferal code for maximum discount LPULMW499 Welcome to our virtual tour .,8,60,14,85,22,146,0,0,0,0,0,0.030136,11.11636558733258,7.274479558773871,6.373319789577012,751
hNdK-cHoA3g,Pondicherry University,Student life in PONDICHERRY UNIVERISTY- Campus tour,Hi guys here's the snippet of campus life at PONDICHERRY UNIVERSITY I hope you enjoy this video dont forget to subscribe to ...,Life with Krithika,2023-09-16T14:03:49Z,2023,81559,1673,576,PT15M55S,unknown,https://www.youtube.com/watch?v=hNdK-cHoA3g,23,Relevant,Student life in PONDICHERRY UNIVERISTY- Campus tour,Hi guys here's the snippet of campus life at PONDICHERRY UNIVERSITY I hope you enjoy this video dont forget to subscribe to .,Student life in PONDICHERRY UNIVERISTY- Campus tour Hi guys here's the snippet of campus life at PONDICHERRY UNIVERSITY I hope you enjoy this video dont forget to subscribe to .,7,51,23,125,30,177,0,0,0,0,0,0.027575,11.309094224688392,7.422971251049421,6.3578422665081,1020
Sqw-ho_rl_c,SASTRA Deemed University,Sastra University Campus Tour | Detailed Review | World class University | Antony Samayal,"vlog:#college:#university:#sastra:#review:#antonysamayal: Welcome to my channel, Hi Guys, This is Antony Samayal and Today ...",Antony Samayal,2023-07-18T18:39:17Z,2023,72777,821,547,PT16M26S,unknown,https://www.youtube.com/watch?v=Sqw-ho_rl_c,14,Relevant,Sastra University Campus Tour | Detailed Review | World class University | Antony Samayal,"vlog:#college:#university:#sastra:#review:#antonysamayal: Welcome to my channel, Hi Guys, This is Antony Samayal and Today .","Sastra University Campus Tour | Detailed Review | World class University | Antony Samayal vlog:#college:#university:#sastra:#review:#antonysamayal: Welcome to my channel, Hi Guys, This is Antony Samayal and Today .",14,89,14,124,28,214,0,5,0,0,0,0.018797,11.195168990711622,6.71174039505618,6.306275286948016,1080
